READ_ONLY,GLOBAL_VALUE,DEFAULT_VALUE,SESSION_VALUE,VARIABLE_NAME,VARIABLE_TYPE,VARIABLE_SCOPE,ENUM_VALUE_LIST,VARIABLE_COMMENT,GLOBAL_VALUE_PATH,NUMERIC_MAX_VALUE,NUMERIC_MIN_VALUE,NUMERIC_BLOCK_SIZE,GLOBAL_VALUE_ORIGIN,COMMAND_LINE_ARGUMENT
NO,100,100,NULL,MAX_CONNECT_ERRORS,BIGINT UNSIGNED,GLOBAL,NULL,If there is more than this number of interrupted connections from a host this host will be blocked from further connections,NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_PREFIX_INDEX_CLUSTER_OPTIMIZATION,BOOLEAN,GLOBAL,"OFF,ON",Enable prefix optimization to sometimes avoid cluster index lookups.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,25,25,NULL,INNODB_BUFFER_POOL_DUMP_PCT,BIGINT UNSIGNED,GLOBAL,NULL,"Dump only the hottest N% of each buffer pool, defaults to 25",NULL,100,1,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_ENCRYPT_TABLES,ENUM,GLOBAL,"OFF,ON,FORCE",Enable encryption for tables. Don't forget to enable --innodb-encrypt-log too,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,latin1_swedish_ci,latin1_swedish_ci,latin1_swedish_ci,COLLATION_DATABASE,ENUM,SESSION,NULL,The collation of the database character set,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,<blank>,<blank>,NULL,INNODB_FT_AUX_TABLE,VARCHAR,GLOBAL,NULL,FTS internal auxiliary table to be checked,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,INNODB_MONITOR_ENABLE,VARCHAR,GLOBAL,NULL,Turn on a monitor counter,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,INIT_CONNECT,VARCHAR,GLOBAL,NULL,Command(s) that are executed for each new connection (unless the user has SUPER privilege),NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,400,400,NULL,TABLE_DEFINITION_CACHE,BIGINT UNSIGNED,GLOBAL,NULL,The number of cached table definitions,NULL,2097152,400,1,AUTO,REQUIRED
NO,228,128,NULL,HOST_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,How many host names should be cached to avoid resolving.,NULL,65536,0,1,AUTO,REQUIRED
NO,"autocommit,character_set_client,character_set_connection,character_set_results,time_zone","autocommit,character_set_client,character_set_connection,character_set_results,time_zone","autocommit,character_set_client,character_set_connection,character_set_results,time_zone",SESSION_TRACK_SYSTEM_VARIABLES,VARCHAR,SESSION,NULL,Track changes in registered system variables. ,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0,0,NULL,INNODB_MAX_PURGE_LAG,BIGINT UNSIGNED,GLOBAL,NULL,Desired maximum length of the purge queue (0 = no limit),NULL,18446744073709551615,0,0,COMPILE-TIME,REQUIRED
NO,NONE,NONE,NULL,WSREP_FORCED_BINLOG_FORMAT,ENUM,GLOBAL,"MIXED,STATEMENT,ROW,NONE",binlog format to take effect over user's choice,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,9223372036853727232,9223372036853727232,NULL,MYISAM_MAX_SORT_FILE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Don't use the fast sort index method to created index if the temporary file would get bigger than this,NULL,9223372036854775807,0,1048576,COMPILE-TIME,REQUIRED
NO,0,0,NULL,SLAVE_PARALLEL_WORKERS,BIGINT UNSIGNED,GLOBAL,NULL,Alias for slave_parallel_threads,NULL,16383,0,1,COMPILE-TIME,REQUIRED
NO,1536,1536,NULL,INNODB_LRU_SCAN_DEPTH,BIGINT UNSIGNED,GLOBAL,NULL,How deep to scan LRU to keep it clean,NULL,18446744073709551615,100,0,COMPILE-TIME,REQUIRED
NO,1,1,NULL,EXTRA_MAX_CONNECTIONS,BIGINT UNSIGNED,GLOBAL,NULL,The number of connections on extra-port,NULL,100000,1,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_LOG_CONFLICTS,BOOLEAN,GLOBAL,"OFF,ON",To log multi-master conflicts,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,UTF8_IS_UTF8MB3,UTF8_IS_UTF8MB3,UTF8_IS_UTF8MB3,OLD_MODE,SET,SESSION,"NO_DUP_KEY_WARNINGS_WITH_IGNORE,NO_PROGRESS_INFO,ZERO_DATE_TIME_CAST,UTF8_IS_UTF8MB3",Used to emulate old behavior from earlier MariaDB or MySQL versions,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,NULL,0,0,LAST_INSERT_ID,BIGINT UNSIGNED,SESSION ONLY,NULL,The value to be returned from LAST_INSERT_ID(),NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,<blank>,<blank>,<blank>,DEFAULT_REGEX_FLAGS,SET,SESSION,"DOTALL,DUPNAMES,EXTENDED,EXTENDED_MORE,EXTRA,MULTILINE,UNGREEDY",Default flags for the regex library,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,DOUBLE_PREC_HB,DOUBLE_PREC_HB,DOUBLE_PREC_HB,HISTOGRAM_TYPE,ENUM,SESSION,"SINGLE_PREC_HB,DOUBLE_PREC_HB","Specifies type of the histograms created by ANALYZE. Possible values are: SINGLE_PREC_HB - single precision height-balanced, DOUBLE_PREC_HB - double precision height-balanced.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0,0,NULL,DEFAULT_PASSWORD_LIFETIME,INT UNSIGNED,GLOBAL,NULL,"This defines the global password expiration policy. 0 means automatic password expiration is disabled. If the value is a positive integer N, the passwords must be changed every N days. This behavior can be overridden using the password expiration options in ALTER USER.",NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,32768,32768,NULL,BINLOG_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,"The size of the transactional cache for updates to transactional engines for the binary log. If you often use transactions containing many statements, you can increase this to get more performance",NULL,18446744073709551615,4096,4096,COMPILE-TIME,REQUIRED
NO,32,256,NULL,THREAD_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,How many threads we should keep in a cache for reuse. These are freed after 5 minutes of idle time,NULL,16384,0,1,CONFIG,REQUIRED
NO,<blank>,<blank>,NULL,PROXY_PROTOCOL_NETWORKS,VARCHAR,GLOBAL,NULL,"Enable proxy protocol for these source networks. The syntax is a comma separated list of IPv4 and IPv6 networks. If the network doesn't contain mask, it is considered to be a single host. ""*"" represents all networks and must the only directive on the line. String ""localhost"" represents non-TCP local connections (Unix domain socket, Windows named pipe or shared memory).",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,30,30,30,NET_READ_TIMEOUT,BIGINT UNSIGNED,SESSION,NULL,Number of seconds to wait for more data from a connection before aborting the read,NULL,31536000,1,1,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,INNODB_STATS_PERSISTENT,BOOLEAN,GLOBAL,"OFF,ON",InnoDB persistent statistics enabled for all tables unless overridden at table level,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,40,8,NULL,THREAD_POOL_SIZE,INT UNSIGNED,GLOBAL,NULL,Number of thread groups in the pool. This parameter is roughly equivalent to maximum number of concurrently executing threads (threads in a waiting state do not count as executing).,NULL,100000,1,1,AUTO,REQUIRED
NO,0,0,0,DEFAULT_WEEK_FORMAT,BIGINT UNSIGNED,SESSION,NULL,The default week format used by WEEK() functions,NULL,7,0,1,COMPILE-TIME,REQUIRED
NO,0,0,NULL,BINLOG_EXPIRE_LOGS_SECONDS,BIGINT UNSIGNED,GLOBAL,NULL,"If non-zero, binary logs will be purged after binlog_expire_logs_seconds seconds; It and expire_logs_days are linked, such that changes in one are converted into the other. Possible purges happen at startup and at binary log rotation.",NULL,8553600,0,1,COMPILE-TIME,REQUIRED
NO,25,25,NULL,INNODB_CHANGE_BUFFER_MAX_SIZE,INT UNSIGNED,GLOBAL,NULL,Maximum on-disk size of change buffer in terms of percentage of the buffer pool.,NULL,50,0,0,COMPILE-TIME,REQUIRED
NO,100.000000,100.000000,100.000000,ANALYZE_SAMPLE_PERCENTAGE,DOUBLE,SESSION,NULL,Percentage of rows from the table ANALYZE TABLE will sample to collect table statistics. Set to 0 to let MariaDB decide what percentage of rows to sample.,NULL,100,0,NULL,COMPILE-TIME,REQUIRED
NO,dynamic,dynamic,NULL,INNODB_DEFAULT_ROW_FORMAT,ENUM,GLOBAL,"redundant,compact,dynamic","The default ROW FORMAT for all innodb tables created without explicit ROW_FORMAT. Possible values are REDUNDANT, COMPACT, and DYNAMIC. The ROW_FORMAT value COMPRESSED is not allowed",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,KEEP_FILES_ON_CREATE,BOOLEAN,SESSION,"OFF,ON",Don't overwrite stale .MYD and .MYI even if no directory is specified,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,"+ -><()~*:""""&|","+ -><()~*:""""&|",NULL,FT_BOOLEAN_SYNTAX,VARCHAR,GLOBAL,NULL,List of operators for MATCH ... AGAINST ( ... IN BOOLEAN MODE),NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,my_wsrep_cluster,my_wsrep_cluster,NULL,WSREP_CLUSTER_NAME,VARCHAR,GLOBAL,NULL,Name for the cluster,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,IDEMPOTENT,IDEMPOTENT,NULL,SLAVE_DDL_EXEC_MODE,ENUM,GLOBAL,"STRICT,IDEMPOTENT","How replication events should be executed. Legal values are STRICT and IDEMPOTENT (default). In IDEMPOTENT mode, replication will not stop for DDL operations that are idempotent. This means that CREATE TABLE is treated as CREATE TABLE OR REPLACE and DROP TABLE is treated as DROP TABLE IF EXISTS.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,latin1,latin1,latin1,CHARACTER_SET_DATABASE,ENUM,SESSION,NULL,The character set used by the default database,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,0,0,NULL,INNODB_BUF_DUMP_STATUS_FREQUENCY,BIGINT UNSIGNED,GLOBAL,NULL,"A number between [0, 100] that tells how oftern buffer pool dump status in percentages should be printed. E.g. 10 means that buffer pool dump status is printed when every 10% of number of buffer pool pages are dumped. Default is 0 (only start and end status is printed).",NULL,100,0,0,COMPILE-TIME,REQUIRED
NO,4,4,4,DEADLOCK_SEARCH_DEPTH_SHORT,BIGINT UNSIGNED,SESSION,NULL,Short search depth for the two-step deadlock detection,NULL,32,0,1,COMPILE-TIME,REQUIRED
NO,25,0,25,MAX_USER_CONNECTIONS,INT,SESSION,NULL,The maximum number of active connections for a single user (0 = no limit),NULL,2147483647,-1,1,CONFIG,REQUIRED
NO,NULL,0.000000,1747134385.164517,TIMESTAMP,DOUBLE,SESSION ONLY,NULL,Set the time for this client,NULL,2147483647,0,NULL,COMPILE-TIME,NULL
NO,<blank>,<blank>,<blank>,INNODB_FT_USER_STOPWORD_TABLE,VARCHAR,SESSION,NULL,"User supplied stopword table name, effective in the session level.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,SLAVE_COMPRESSED_PROTOCOL,BOOLEAN,GLOBAL,"OFF,ON",Use compression on master/slave protocol,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,1,1,1,SERVER_ID,BIGINT UNSIGNED,SESSION,NULL,Uniquely identifies the server instance in the community of replication partners,NULL,4294967295,1,1,CONFIG,REQUIRED
NO,9223372036853727232,9223372036853727232,NULL,ARIA_MAX_SORT_FILE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Don't use the fast sort index method to created index if the temporary file would get bigger than this.,NULL,9223372036854775807,0,1048576,COMPILE-TIME,REQUIRED
NO,en_US,en_US,en_US,LC_TIME_NAMES,ENUM,SESSION,NULL,Set the language used for the month names and the days of the week,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,PREFERABLY_FOR_QUERIES,PREFERABLY_FOR_QUERIES,PREFERABLY_FOR_QUERIES,USE_STAT_TABLES,ENUM,SESSION,"NEVER,COMPLEMENTARY,PREFERABLY,COMPLEMENTARY_FOR_QUERIES,PREFERABLY_FOR_QUERIES",Specifies how to use system statistics tables,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,<blank>,NULL,<blank>,DEFAULT_TMP_STORAGE_ENGINE,VARCHAR,SESSION,NULL,The default storage engine for user-created temporary tables,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,NEWFILE,NEWFILE,NULL,ARIA_SYNC_LOG_DIR,ENUM,GLOBAL,"NEVER,NEWFILE,ALWAYS",Controls syncing directory after log file growth and new file creation,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,GTID_POS_AUTO_ENGINES,VARCHAR,GLOBAL,NULL,"List of engines for which to automatically create a mysql.gtid_slave_pos_ENGINE table, if a transaction using that engine is replicated. This can be used to avoid introducing cross-engine transactions, if engines are used different from that used by table mysql.gtid_slave_pos",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,ON,ON,ON,INNODB_FT_ENABLE_STOPWORD,BOOLEAN,SESSION,"OFF,ON",Create FTS index with stopword.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,20,20,NULL,INNODB_STATS_PERSISTENT_SAMPLE_PAGES,BIGINT UNSIGNED,GLOBAL,NULL,"The number of leaf index pages to sample when calculating persistent statistics (by ANALYZE, default 20)",NULL,18446744073709551615,1,0,COMPILE-TIME,REQUIRED
NO,0,0,NULL,ARIA_GROUP_COMMIT_INTERVAL,BIGINT UNSIGNED,GLOBAL,NULL,"Interval between commits in microseconds (1/1000000 sec). 0 stands for no waiting for other threads to come and do a commit in ""hard"" mode and no sync()/commit at all in ""soft"" mode.  Option has only an effect if aria_group_commit is used",NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,SLOW_QUERY_LOG,BOOLEAN,SESSION,"OFF,ON",Log slow queries to a table or log file. Defaults logging to a file 'hostname'-slow.log or a table mysql.slow_log if --log-output=TABLE is used. Must be enabled to activate other slow log options.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,15,15,15,PROFILING_HISTORY_SIZE,BIGINT UNSIGNED,SESSION,NULL,"Number of statements about which profiling information is maintained. If set to 0, no profiles are stored. See SHOW PROFILES.",NULL,100,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_CONVERT_LOCK_TO_TRX,BOOLEAN,GLOBAL,"OFF,ON",To convert locking sessions into transactions,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,none,none,NULL,INNODB_CHANGE_BUFFERING,ENUM,GLOBAL,"none,inserts,deletes,changes,purges,all",Buffer changes to secondary indexes.,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0,0,NULL,INNODB_STATS_MODIFIED_COUNTER,BIGINT UNSIGNED,GLOBAL,NULL,The number of rows modified before we calculate new statistics (default 0 = current limits),NULL,18446744073709551615,0,0,COMPILE-TIME,REQUIRED
NO,18446744073709551615,18446744073709551615,18446744073709551615,SQL_SELECT_LIMIT,BIGINT UNSIGNED,SESSION,NULL,The maximum number of rows to return from SELECT statements,NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,64,64,64,MAX_ERROR_COUNT,BIGINT UNSIGNED,SESSION,NULL,Max number of errors/warnings to store for a statement,NULL,65535,0,1,COMPILE-TIME,REQUIRED
NO,nulls_unequal,nulls_unequal,nulls_unequal,ARIA_STATS_METHOD,ENUM,SESSION,"nulls_unequal,nulls_equal,nulls_ignored",Specifies how Aria index statistics collection code should treat NULLs,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,NULLS_UNEQUAL,NULLS_UNEQUAL,NULLS_UNEQUAL,MYISAM_STATS_METHOD,ENUM,SESSION,"NULLS_UNEQUAL,NULLS_EQUAL,NULLS_IGNORED","Specifies how MyISAM index statistics collection code should treat NULLs. Possible values of name are NULLS_UNEQUAL (default behavior for 4.1 and later), NULLS_EQUAL (emulate 4.0 behavior), and NULLS_IGNORED",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,GENERAL_LOG,BOOLEAN,GLOBAL,"OFF,ON",Log connections and queries to a table or log file. Defaults logging to a file 'hostname'.log or a table mysql.general_logif --log-output=TABLE is used.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,zlib,zlib,NULL,INNODB_COMPRESSION_ALGORITHM,ENUM,GLOBAL,"none,zlib,lz4,lzo,lzma,bzip2,snappy","Compression algorithm used on page compression. One of: none, zlib, lz4, lzo, lzma, bzip2, or snappy",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,NONE,NONE,NULL,WSREP_DEBUG,ENUM,GLOBAL,"NONE,SERVER,TRANSACTION,STREAMING,CLIENT",WSREP debug level logging,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0,0,NULL,SLAVE_TRANSACTION_RETRY_INTERVAL,BIGINT UNSIGNED,GLOBAL,NULL,Interval of the slave SQL thread will retry a transaction in case it failed with a deadlock or elapsed lock wait timeout or listed in slave_transaction_retry_errors,NULL,3600,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,PROFILING,BOOLEAN,SESSION,"OFF,ON","If set to 1 (0 is default), statement profiling will be enabled. See SHOW PROFILES and SHOW PROFILE.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,1,1,NULL,WSREP_SLAVE_THREADS,BIGINT UNSIGNED,GLOBAL,NULL,Number of slave appliers to launch,NULL,512,1,1,COMPILE-TIME,REQUIRED
NO,100,100,100,EXPENSIVE_SUBQUERY_LIMIT,BIGINT UNSIGNED,SESSION,NULL,The maximum number of rows a subquery may examine in order to be executed during optimization and used for constant optimization,NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,INNODB_BUFFER_POOL_DUMP_AT_SHUTDOWN,BOOLEAN,GLOBAL,"OFF,ON",Dump the buffer pool into a file named @@innodb_buffer_pool_filename,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,WSREP_ON,BOOLEAN,SESSION,"OFF,ON",To enable wsrep replication ,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,40,28800,40,WAIT_TIMEOUT,BIGINT UNSIGNED,SESSION,NULL,The number of seconds the server waits for activity on a connection before closing it,NULL,31536000,1,1,CONFIG,REQUIRED
NO,15,15,15,DEADLOCK_SEARCH_DEPTH_LONG,BIGINT UNSIGNED,SESSION,NULL,Long search depth for the two-step deadlock detection,NULL,33,0,1,COMPILE-TIME,REQUIRED
NO,262144,262144,262144,MRR_BUFFER_SIZE,BIGINT UNSIGNED,SESSION,NULL,Size of buffer to use when using MRR with range access,NULL,2147483647,8192,1,COMPILE-TIME,REQUIRED
NO,00000000-0000-0000-0000-000000000000:-1,00000000-0000-0000-0000-000000000000:-1,NULL,WSREP_START_POSITION,VARCHAR,GLOBAL,NULL,global transaction position to start from ,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0.000000,0.000000,NULL,INNODB_MAX_DIRTY_PAGES_PCT_LWM,DOUBLE,GLOBAL,NULL,Percentage of dirty pages at which flushing kicks in. The value 0 (default) means 'refer to innodb_max_dirty_pages_pct'.,NULL,99.999,0,NULL,COMPILE-TIME,REQUIRED
NO,0,0,0,IDLE_WRITE_TRANSACTION_TIMEOUT,INT UNSIGNED,SESSION,NULL,The number of seconds the server waits for write idle transaction,NULL,31536000,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_SST_DONOR_REJECTS_QUERIES,BOOLEAN,GLOBAL,"OFF,ON",Reject client queries when donating state snapshot transfer,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,ON,FOREIGN_KEY_CHECKS,BOOLEAN,SESSION,"OFF,ON","If set to 1 (the default) foreign key constraints (including ON UPDATE and ON DELETE behavior) InnoDB tables are checked, while if set to 0, they are not checked. 0 is not recommended for normal use, though it can be useful in situations where you know the data is consistent, but want to reload data in a different order from that that specified by parent/child relationships. Setting this variable to 1 does not retrospectively check for inconsistencies introduced while set to 0.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,<blank>,<blank>,NULL,INNODB_MONITOR_RESET,VARCHAR,GLOBAL,NULL,Reset a monitor counter,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,GTID_IGNORE_DUPLICATES,BOOLEAN,GLOBAL,"OFF,ON","When set, different master connections in multi-source replication are allowed to receive and process event groups with the same GTID (when using GTID mode). Only one will be applied, any others will be ignored. Within a given replication domain, just the sequence number will be used to decide whether a given GTID has been already applied; this means it is the responsibility of the user to ensure that GTID sequence numbers are strictly increasing.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,NULL,INNODB_STATS_AUTO_RECALC,BOOLEAN,GLOBAL,"OFF,ON",InnoDB automatic recalculation of persistent statistics enabled for all tables unless overridden at table level (automatic recalculation is only done when InnoDB decides that the table has changed too much and needs a new statistics),NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,INNODB_DEFRAGMENT,BOOLEAN,GLOBAL,"OFF,ON","Enable/disable InnoDB defragmentation (default FALSE). When set to FALSE, all existing defragmentation will be paused. And new defragmentation command will fail.Paused defragmentation commands will resume when this variable is set to true again.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,0,0,NULL,WSREP_MAX_WS_ROWS,BIGINT UNSIGNED,GLOBAL,NULL,Max number of rows in write set,NULL,1048576,0,1,COMPILE-TIME,REQUIRED
NO,32,32,32,MAX_TMP_TABLES,BIGINT UNSIGNED,SESSION,NULL,"Unused, will be removed.",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,COLUMN_COMPRESSION_ZLIB_WRAP,BOOLEAN,SESSION,"OFF,ON",Generate zlib header and trailer and compute adler32 check value. It can be used with storage engines that don't provide data integrity verification to detect data corruption.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,NULL,0,134404488,RAND_SEED2,BIGINT UNSIGNED,SESSION ONLY,NULL,Sets the internal state of the RAND() generator for replication purposes,NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,<blank>,NULL,NULL,GTID_BINLOG_STATE,VARCHAR,GLOBAL,NULL,"The internal GTID state of the binlog, used to keep track of all GTIDs ever logged to the binlog.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,ON,ON,NULL,WSREP_SLAVE_FK_CHECKS,BOOLEAN,GLOBAL,"OFF,ON",Should slave thread do foreign key constraint checks,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,SESSION_TRACK_TRANSACTION_INFO,ENUM,SESSION,"OFF,STATE,CHARACTERISTICS","Track changes to the transaction attributes. OFF to disable; STATE to track just transaction state (Is there an active transaction? Does it have any data? etc.); CHARACTERISTICS to track transaction state and report all statements needed to start a transaction with the same characteristics (isolation level, read only/read write,snapshot - but not any work done / data modified within the transaction).",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_SLAVE_UK_CHECKS,BOOLEAN,GLOBAL,"OFF,ON",Should slave thread do secondary index uniqueness checks,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,100,100,NULL,INNODB_FILL_FACTOR,INT UNSIGNED,GLOBAL,NULL,Percentage of B-tree page filled during bulk insert,NULL,100,10,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,WSREP_LOAD_DATA_SPLITTING,BOOLEAN,GLOBAL,"OFF,ON",To commit LOAD DATA transaction after every 10K rows inserted (deprecated),NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,NULL,INNODB_ADAPTIVE_FLUSHING,BOOLEAN,GLOBAL,"OFF,ON",Attempt flushing dirty pages to avoid IO bursts at checkpoints.,NULL,NULL,NULL,NULL,COMPILE-TIME,NONE
NO,2,2,2,LOG_WARNINGS,BIGINT UNSIGNED,SESSION,NULL,Log some non critical warnings to the error log.Value can be between 0 and 11. Higher values mean more verbosity,NULL,4294967295,0,1,COMPILE-TIME,OPTIONAL
NO,ON,ON,NULL,INNODB_FILE_PER_TABLE,BOOLEAN,GLOBAL,"OFF,ON",Stores each InnoDB table to an .ibd file in the database dir.,NULL,NULL,NULL,NULL,CONFIG,NONE
NO,18446744073709551615,18446744073709551615,18446744073709551615,MAX_JOIN_SIZE,BIGINT UNSIGNED,SESSION,NULL,Joins that are probably going to read more than max_join_size records return an error,NULL,18446744073709551615,1,1,COMPILE-TIME,REQUIRED
NO,MyISAM,MyISAM,MyISAM,DEFAULT_STORAGE_ENGINE,VARCHAR,SESSION,NULL,The default storage engine for new tables,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,1000,1000,NULL,THREAD_POOL_PRIO_KICKUP_TIMER,INT UNSIGNED,GLOBAL,NULL,The number of milliseconds before a dequeued low-priority statement is moved to the high-priority queue,NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,NULL,OFF,OFF,SKIP_PARALLEL_REPLICATION,BOOLEAN,SESSION ONLY,"OFF,ON","If set when a transaction is written to the binlog, parallel apply of that transaction will be avoided on a slave where slave_parallel_mode is not ""aggressive"". Can be used to avoid unnecessary rollback and retry for transactions that are likely to cause a conflict if replicated in parallel.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,OFF,OFF,NULL,INNODB_STATS_ON_METADATA,BOOLEAN,GLOBAL,"OFF,ON",Enable statistics gathering for metadata commands such as SHOW TABLE STATUS for tables that use transient statistics (off by default),NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,USERSTAT,BOOLEAN,GLOBAL,"OFF,ON","Enables statistics gathering for USER_STATISTICS, CLIENT_STATISTICS, INDEX_STATISTICS and TABLE_STATISTICS tables in the INFORMATION_SCHEMA",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,AUTO,AUTO,NULL,WSREP_NODE_INCOMING_ADDRESS,VARCHAR,GLOBAL,NULL,Client connection address,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,1,1,1,AUTO_INCREMENT_INCREMENT,BIGINT UNSIGNED,SESSION,NULL,Auto-increment columns are incremented by this,NULL,65535,1,1,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,BIG_TABLES,BOOLEAN,SESSION,"OFF,ON","Old variable, which if set to 1, allows large result sets by saving all temporary sets to disk, avoiding 'table full' errors. No longer needed, as the server now handles this automatically.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,<blank>,<blank>,NULL,REPLICATE_IGNORE_DB,VARCHAR,GLOBAL,NULL,"Tell the slave to restrict replication to updates of tables whose names do not appear in the comma-separated list. For statement-based replication, only the default database (that is, the one selected by USE) is considered, not any explicitly mentioned tables in the query. For row-based replication, the actual names of table(s) being updated are checked.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
